




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20996)	upload_1 (278)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of blood vessel diameter (GO:0097756)	40	5	.53	+	9.44	2.93E-04	4.17E-03
reproduction (GO:0000003)	1437	36	19.03	+	1.89	2.94E-04	4.19E-03
regulation of RNA stability (GO:0043487)	189	10	2.50	+	4.00	3.02E-04	4.30E-03
organic acid metabolic process (GO:0006082)	993	28	13.15	+	2.13	3.05E-04	4.33E-03
organic substance catabolic process (GO:1901575)	1778	42	23.54	+	1.78	3.12E-04	4.43E-03
response to radiation (GO:0009314)	435	16	5.76	+	2.78	3.15E-04	4.47E-03
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	481	17	6.37	+	2.67	3.21E-04	4.55E-03
defense response to Gram-negative bacterium (GO:0050829)	92	7	1.22	+	5.75	3.23E-04	4.57E-03
T cell selection (GO:0045058)	41	5	.54	+	9.21	3.25E-04	4.60E-03
regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893)	41	5	.54	+	9.21	3.25E-04	4.59E-03
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	156	9	2.07	+	4.36	3.31E-04	4.68E-03
positive regulation of protein localization to cell periphery (GO:1904377)	65	6	.86	+	6.97	3.32E-04	4.68E-03
regulation of MyD88-independent toll-like receptor signaling pathway (GO:0034127)	8	3	.11	+	28.32	3.37E-04	4.75E-03
positive regulation of interferon-beta biosynthetic process (GO:0045359)	8	3	.11	+	28.32	3.37E-04	4.74E-03
regulation of endodeoxyribonuclease activity (GO:0032071)	8	3	.11	+	28.32	3.37E-04	4.74E-03
regulation of hyaluronan biosynthetic process (GO:1900125)	8	3	.11	+	28.32	3.37E-04	4.74E-03
embryo development (GO:0009790)	1010	28	13.37	+	2.09	3.39E-04	4.76E-03
T cell lineage commitment (GO:0002360)	22	4	.29	+	13.73	3.40E-04	4.77E-03
release of cytochrome c from mitochondria (GO:0001836)	22	4	.29	+	13.73	3.40E-04	4.77E-03
regulation of nuclease activity (GO:0032069)	22	4	.29	+	13.73	3.40E-04	4.76E-03
dendritic cell migration (GO:0036336)	22	4	.29	+	13.73	3.40E-04	4.76E-03
positive regulation of endothelial cell proliferation (GO:0001938)	93	7	1.23	+	5.68	3.43E-04	4.80E-03
development of primary female sexual characteristics (GO:0046545)	93	7	1.23	+	5.68	3.43E-04	4.79E-03
positive regulation of phagocytosis (GO:0050766)	66	6	.87	+	6.87	3.58E-04	4.99E-03
regulation of hormone metabolic process (GO:0032350)	42	5	.56	+	8.99	3.60E-04	5.02E-03
positive regulation of release of sequestered calcium ion into cytosol (GO:0051281)	42	5	.56	+	8.99	3.60E-04	5.01E-03
negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002823)	42	5	.56	+	8.99	3.60E-04	5.01E-03
positive regulation of mitotic cell cycle (GO:0045931)	158	9	2.09	+	4.30	3.62E-04	5.03E-03
activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)	94	7	1.24	+	5.62	3.65E-04	5.06E-03
regulation of interleukin-1 production (GO:0032652)	94	7	1.24	+	5.62	3.65E-04	5.06E-03
endothelium development (GO:0003158)	94	7	1.24	+	5.62	3.65E-04	5.06E-03
response to acid chemical (GO:0001101)	354	14	4.69	+	2.99	3.72E-04	5.16E-03
cellular response to heat (GO:0034605)	67	6	.89	+	6.76	3.86E-04	5.34E-03
epithelium development (GO:0060429)	1115	30	14.76	+	2.03	3.90E-04	5.40E-03
regulation of calcium ion transmembrane transport (GO:1903169)	160	9	2.12	+	4.25	3.95E-04	5.46E-03
regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033139)	23	4	.30	+	13.13	3.95E-04	5.46E-03
positive regulation of macrophage migration (GO:1905523)	23	4	.30	+	13.13	3.95E-04	5.45E-03
positive regulation of cyclase activity (GO:0031281)	23	4	.30	+	13.13	3.95E-04	5.45E-03
regulation of execution phase of apoptosis (GO:1900117)	43	5	.57	+	8.78	3.98E-04	5.48E-03
positive regulation of DNA recombination (GO:0045911)	43	5	.57	+	8.78	3.98E-04	5.47E-03
interleukin-1-mediated signaling pathway (GO:0070498)	96	7	1.27	+	5.51	4.11E-04	5.65E-03
hexose metabolic process (GO:0019318)	161	9	2.13	+	4.22	4.12E-04	5.67E-03
import into cell (GO:0098657)	670	21	8.87	+	2.37	4.15E-04	5.69E-03
lipid metabolic process (GO:0006629)	1199	31	15.88	+	1.95	4.20E-04	5.75E-03
positive regulation of catabolic process (GO:0009896)	447	16	5.92	+	2.70	4.20E-04	5.76E-03
negative regulation of cellular response to growth factor stimulus (GO:0090288)	162	9	2.14	+	4.20	4.30E-04	5.89E-03
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	97	7	1.28	+	5.45	4.36E-04	5.96E-03
regulation of lipase activity (GO:0060191)	97	7	1.28	+	5.45	4.36E-04	5.95E-03
B cell activation involved in immune response (GO:0002312)	44	5	.58	+	8.58	4.38E-04	5.98E-03
positive regulation of calcium-mediated signaling (GO:0050850)	44	5	.58	+	8.58	4.38E-04	5.98E-03
negative regulation of phosphorylation (GO:0042326)	449	16	5.95	+	2.69	4.40E-04	6.00E-03
regulation of chronic inflammatory response (GO:0002676)	9	3	.12	+	25.18	4.45E-04	6.06E-03
regulation of interferon-beta biosynthetic process (GO:0045357)	9	3	.12	+	25.18	4.45E-04	6.06E-03
Bergmann glial cell differentiation (GO:0060020)	9	3	.12	+	25.18	4.45E-04	6.05E-03
regulation of interleukin-12 biosynthetic process (GO:0045075)	9	3	.12	+	25.18	4.45E-04	6.05E-03
ATF6-mediated unfolded protein response (GO:0036500)	9	3	.12	+	25.18	4.45E-04	6.04E-03
positive regulation of metallopeptidase activity (GO:1905050)	9	3	.12	+	25.18	4.45E-04	6.04E-03
regulation of muscle contraction (GO:0006937)	163	9	2.16	+	4.17	4.49E-04	6.09E-03
negative regulation of epithelial cell proliferation (GO:0050680)	129	8	1.71	+	4.68	4.49E-04	6.08E-03
cellular response to unfolded protein (GO:0034620)	129	8	1.71	+	4.68	4.49E-04	6.08E-03
pyrimidine nucleoside catabolic process (GO:0046135)	24	4	.32	+	12.59	4.56E-04	6.17E-03
negative regulation of cell junction assembly (GO:1901889)	24	4	.32	+	12.59	4.56E-04	6.16E-03
somatic recombination of immunoglobulin gene segments (GO:0016447)	24	4	.32	+	12.59	4.56E-04	6.16E-03
positive regulation of macrophage activation (GO:0043032)	24	4	.32	+	12.59	4.56E-04	6.15E-03
negative regulation of cell cycle phase transition (GO:1901988)	238	11	3.15	+	3.49	4.60E-04	6.19E-03
regulation of calcium-mediated signaling (GO:0050848)	98	7	1.30	+	5.39	4.62E-04	6.21E-03
negative regulation of cell activation (GO:0050866)	200	10	2.65	+	3.78	4.63E-04	6.22E-03
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	130	8	1.72	+	4.65	4.72E-04	6.34E-03
response to copper ion (GO:0046688)	45	5	.60	+	8.39	4.82E-04	6.47E-03
negative regulation of leukocyte migration (GO:0002686)	45	5	.60	+	8.39	4.82E-04	6.46E-03
regulation of protein localization to plasma membrane (GO:1903076)	99	7	1.31	+	5.34	4.89E-04	6.55E-03
maintenance of location in cell (GO:0051651)	99	7	1.31	+	5.34	4.89E-04	6.54E-03
negative regulation of protein phosphorylation (GO:0001933)	409	15	5.42	+	2.77	4.97E-04	6.65E-03
response to unfolded protein (GO:0006986)	166	9	2.20	+	4.09	5.09E-04	6.81E-03
multicellular organismal homeostasis (GO:0048871)	323	13	4.28	+	3.04	5.11E-04	6.83E-03
tissue remodeling (GO:0048771)	100	7	1.32	+	5.29	5.17E-04	6.90E-03
detoxification (GO:0098754)	132	8	1.75	+	4.58	5.19E-04	6.92E-03
response to prostaglandin E (GO:0034695)	25	4	.33	+	12.08	5.24E-04	6.98E-03
substantia nigra development (GO:0021762)	46	5	.61	+	8.21	5.28E-04	7.03E-03
regulation of granulocyte chemotaxis (GO:0071622)	46	5	.61	+	8.21	5.28E-04	7.03E-03
regulation of neurogenesis (GO:0050767)	835	24	11.06	+	2.17	5.35E-04	7.11E-03
regulation of systemic arterial blood pressure (GO:0003073)	101	7	1.34	+	5.23	5.47E-04	7.26E-03
negative regulation of intracellular signal transduction (GO:1902532)	505	17	6.69	+	2.54	5.48E-04	7.28E-03
peptidyl-threonine phosphorylation (GO:0018107)	72	6	.95	+	6.29	5.51E-04	7.31E-03
immunoglobulin mediated immune response (GO:0016064)	205	10	2.71	+	3.68	5.56E-04	7.37E-03
regulation of cellular response to growth factor stimulus (GO:0090287)	285	12	3.77	+	3.18	5.71E-04	7.55E-03
catabolic process (GO:0009056)	2078	46	27.51	+	1.67	5.72E-04	7.56E-03
multi-organism membrane organization (GO:0044803)	10	3	.13	+	22.66	5.73E-04	7.57E-03
regulation of macrophage apoptotic process (GO:2000109)	10	3	.13	+	22.66	5.73E-04	7.56E-03
positive regulation of prostaglandin secretion (GO:0032308)	10	3	.13	+	22.66	5.73E-04	7.56E-03
regulation of deoxyribonuclease activity (GO:0032070)	10	3	.13	+	22.66	5.73E-04	7.55E-03
positive regulation of isotype switching to IgG isotypes (GO:0048304)	10	3	.13	+	22.66	5.73E-04	7.55E-03
positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800)	10	3	.13	+	22.66	5.73E-04	7.54E-03
type 2 immune response (GO:0042092)	10	3	.13	+	22.66	5.73E-04	7.53E-03
regulation of striated muscle cell differentiation (GO:0051153)	102	7	1.35	+	5.18	5.78E-04	7.59E-03
T cell differentiation in thymus (GO:0033077)	47	5	.62	+	8.03	5.78E-04	7.59E-03
negative regulation of cold-induced thermogenesis (GO:0120163)	47	5	.62	+	8.03	5.78E-04	7.59E-03
regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901028)	47	5	.62	+	8.03	5.78E-04	7.58E-03
regulation of lipid storage (GO:0010883)	47	5	.62	+	8.03	5.78E-04	7.57E-03
positive regulation of epithelial to mesenchymal transition (GO:0010718)	47	5	.62	+	8.03	5.78E-04	7.57E-03
negative regulation of adaptive immune response (GO:0002820)	47	5	.62	+	8.03	5.78E-04	7.56E-03
male gonad development (GO:0008584)	135	8	1.79	+	4.48	5.97E-04	7.80E-03
negative regulation of protein catabolic process (GO:0042177)	135	8	1.79	+	4.48	5.97E-04	7.80E-03
blood coagulation, fibrin clot formation (GO:0072378)	26	4	.34	+	11.62	5.98E-04	7.80E-03
protein activation cascade (GO:0072376)	26	4	.34	+	11.62	5.98E-04	7.80E-03
positive regulation of collagen biosynthetic process (GO:0032967)	26	4	.34	+	11.62	5.98E-04	7.79E-03
response to cholesterol (GO:0070723)	26	4	.34	+	11.62	5.98E-04	7.78E-03
positive regulation of positive chemotaxis (GO:0050927)	26	4	.34	+	11.62	5.98E-04	7.78E-03
thyroid gland development (GO:0030878)	26	4	.34	+	11.62	5.98E-04	7.77E-03
unsaturated fatty acid metabolic process (GO:0033559)	103	7	1.36	+	5.13	6.11E-04	7.92E-03
B cell mediated immunity (GO:0019724)	208	10	2.75	+	3.63	6.19E-04	8.03E-03
development of primary male sexual characteristics (GO:0046546)	136	8	1.80	+	4.44	6.26E-04	8.10E-03
regulation of mitochondrial membrane permeability (GO:0046902)	74	6	.98	+	6.12	6.31E-04	8.17E-03
positive regulation of calcium ion transmembrane transport (GO:1904427)	74	6	.98	+	6.12	6.31E-04	8.16E-03
negative regulation of wound healing (GO:0061045)	74	6	.98	+	6.12	6.31E-04	8.16E-03
regulation of mononuclear cell migration (GO:0071675)	48	5	.64	+	7.87	6.32E-04	8.16E-03
positive regulation of muscle contraction (GO:0045933)	48	5	.64	+	7.87	6.32E-04	8.15E-03
cellular detoxification (GO:1990748)	104	7	1.38	+	5.08	6.45E-04	8.31E-03
regulation of mRNA metabolic process (GO:1903311)	332	13	4.40	+	2.96	6.54E-04	8.43E-03
regulation of nervous system development (GO:0051960)	944	26	12.50	+	2.08	6.65E-04	8.56E-03
ribonucleoside metabolic process (GO:0009119)	75	6	.99	+	6.04	6.74E-04	8.67E-03
regulation of mitotic cell cycle phase transition (GO:1901990)	422	15	5.59	+	2.68	6.78E-04	8.71E-03
immunoglobulin production involved in immunoglobulin mediated immune response (GO:0002381)	27	4	.36	+	11.19	6.80E-04	8.73E-03
response to angiotensin (GO:1990776)	27	4	.36	+	11.19	6.80E-04	8.72E-03
regulation of T cell differentiation in thymus (GO:0033081)	27	4	.36	+	11.19	6.80E-04	8.72E-03
regulation of positive chemotaxis (GO:0050926)	27	4	.36	+	11.19	6.80E-04	8.71E-03
positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900740)	27	4	.36	+	11.19	6.80E-04	8.70E-03
regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900739)	27	4	.36	+	11.19	6.80E-04	8.70E-03
modulation by symbiont of host cellular process (GO:0044068)	27	4	.36	+	11.19	6.80E-04	8.69E-03
chaperone-mediated autophagy (GO:0061684)	27	4	.36	+	11.19	6.80E-04	8.68E-03
regulation of macrophage chemotaxis (GO:0010758)	27	4	.36	+	11.19	6.80E-04	8.68E-03
positive regulation of collagen metabolic process (GO:0010714)	27	4	.36	+	11.19	6.80E-04	8.67E-03
positive regulation of isotype switching (GO:0045830)	27	4	.36	+	11.19	6.80E-04	8.66E-03
epidermal growth factor receptor signaling pathway (GO:0007173)	49	5	.65	+	7.71	6.89E-04	8.77E-03
regulation of alcohol biosynthetic process (GO:1902930)	76	6	1.01	+	5.96	7.20E-04	9.15E-03
regulation of canonical Wnt signaling pathway (GO:0060828)	293	12	3.88	+	3.09	7.20E-04	9.15E-03
nucleobase-containing compound metabolic process (GO:0006139)	2814	58	37.26	+	1.56	7.22E-04	9.17E-03
regulation of dendritic cell antigen processing and presentation (GO:0002604)	11	3	.15	+	20.60	7.22E-04	9.16E-03
cyclooxygenase pathway (GO:0019371)	11	3	.15	+	20.60	7.22E-04	9.15E-03
positive regulation of podosome assembly (GO:0071803)	11	3	.15	+	20.60	7.22E-04	9.15E-03
positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:2001269)	11	3	.15	+	20.60	7.22E-04	9.14E-03
regulation of T-helper 2 cell cytokine production (GO:2000551)	11	3	.15	+	20.60	7.22E-04	9.13E-03
establishment of endothelial intestinal barrier (GO:0090557)	11	3	.15	+	20.60	7.22E-04	9.13E-03
interleukin-6 production (GO:0032635)	11	3	.15	+	20.60	7.22E-04	9.12E-03
cellular response to lipoteichoic acid (GO:0071223)	11	3	.15	+	20.60	7.22E-04	9.11E-03
response to lipoteichoic acid (GO:0070391)	11	3	.15	+	20.60	7.22E-04	9.10E-03
positive regulation of immunoglobulin secretion (GO:0051024)	11	3	.15	+	20.60	7.22E-04	9.10E-03
positive regulation of hormone biosynthetic process (GO:0046886)	11	3	.15	+	20.60	7.22E-04	9.09E-03
response to granulocyte macrophage colony-stimulating factor (GO:0097012)	11	3	.15	+	20.60	7.22E-04	9.08E-03
cellular response to granulocyte macrophage colony-stimulating factor stimulus (GO:0097011)	11	3	.15	+	20.60	7.22E-04	9.08E-03
negative regulation of blood coagulation (GO:0030195)	50	5	.66	+	7.55	7.50E-04	9.42E-03
regulation of DNA recombination (GO:0000018)	107	7	1.42	+	4.94	7.55E-04	9.48E-03
female sex differentiation (GO:0046660)	107	7	1.42	+	4.94	7.55E-04	9.47E-03
regulation of protein stability (GO:0031647)	295	12	3.91	+	3.07	7.63E-04	9.55E-03
in utero embryonic development (GO:0001701)	382	14	5.06	+	2.77	7.65E-04	9.58E-03
regulation of fatty acid transport (GO:2000191)	28	4	.37	+	10.79	7.69E-04	9.62E-03
regulation of hair cycle (GO:0042634)	28	4	.37	+	10.79	7.69E-04	9.61E-03
positive regulation of steroid metabolic process (GO:0045940)	28	4	.37	+	10.79	7.69E-04	9.61E-03
cellular catabolic process (GO:0044248)	1801	41	23.85	+	1.72	7.76E-04	9.68E-03
anatomical structure homeostasis (GO:0060249)	339	13	4.49	+	2.90	7.87E-04	9.82E-03
response to endoplasmic reticulum stress (GO:0034976)	255	11	3.38	+	3.26	7.94E-04	9.90E-03
response to xenobiotic stimulus (GO:0009410)	297	12	3.93	+	3.05	8.07E-04	1.00E-02
cytokine secretion (GO:0050663)	51	5	.68	+	7.40	8.15E-04	1.01E-02
negative regulation of hemostasis (GO:1900047)	51	5	.68	+	7.40	8.15E-04	1.01E-02
macrophage activation (GO:0042116)	51	5	.68	+	7.40	8.15E-04	1.01E-02
negative regulation of myeloid leukocyte differentiation (GO:0002762)	51	5	.68	+	7.40	8.15E-04	1.01E-02
regulation of peptide hormone secretion (GO:0090276)	216	10	2.86	+	3.50	8.17E-04	1.01E-02
production of molecular mediator of immune response (GO:0002440)	179	9	2.37	+	3.80	8.51E-04	1.05E-02
cellular response to starvation (GO:0009267)	179	9	2.37	+	3.80	8.51E-04	1.05E-02
negative regulation of osteoclast differentiation (GO:0045671)	29	4	.38	+	10.42	8.66E-04	1.07E-02
regulation of regulatory T cell differentiation (GO:0045589)	29	4	.38	+	10.42	8.66E-04	1.07E-02
positive regulation of defense response to virus by host (GO:0002230)	29	4	.38	+	10.42	8.66E-04	1.07E-02
regulation of hormone biosynthetic process (GO:0046885)	29	4	.38	+	10.42	8.66E-04	1.07E-02
regulation of macrophage derived foam cell differentiation (GO:0010743)	29	4	.38	+	10.42	8.66E-04	1.07E-02
maintenance of protein location in cell (GO:0032507)	79	6	1.05	+	5.74	8.70E-04	1.07E-02
mitotic interphase (GO:0051329)	79	6	1.05	+	5.74	8.70E-04	1.07E-02
interphase (GO:0051325)	79	6	1.05	+	5.74	8.70E-04	1.07E-02
cellular response to fibroblast growth factor stimulus (GO:0044344)	110	7	1.46	+	4.81	8.81E-04	1.08E-02
positive regulation of interleukin-1 beta production (GO:0032731)	52	5	.69	+	7.26	8.84E-04	1.09E-02
positive chemotaxis (GO:0050918)	52	5	.69	+	7.26	8.84E-04	1.08E-02
response to ionizing radiation (GO:0010212)	144	8	1.91	+	4.20	8.91E-04	1.09E-02
I-kappaB phosphorylation (GO:0007252)	12	3	.16	+	18.88	8.94E-04	1.10E-02
lymphoid progenitor cell differentiation (GO:0002320)	12	3	.16	+	18.88	8.94E-04	1.09E-02
signal peptide processing (GO:0006465)	12	3	.16	+	18.88	8.94E-04	1.09E-02
angiotensin maturation (GO:0002003)	12	3	.16	+	18.88	8.94E-04	1.09E-02
regulation of angiotensin levels in blood (GO:0002002)	12	3	.16	+	18.88	8.94E-04	1.09E-02
positive regulation of T cell differentiation in thymus (GO:0033089)	12	3	.16	+	18.88	8.94E-04	1.09E-02
positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440)	12	3	.16	+	18.88	8.94E-04	1.09E-02
regulation of prostaglandin secretion (GO:0032306)	12	3	.16	+	18.88	8.94E-04	1.09E-02
PERK-mediated unfolded protein response (GO:0036499)	12	3	.16	+	18.88	8.94E-04	1.09E-02
regulation of dendritic cell cytokine production (GO:0002730)	12	3	.16	+	18.88	8.94E-04	1.09E-02
negative regulation of mononuclear cell proliferation (GO:0032945)	80	6	1.06	+	5.66	9.25E-04	1.13E-02
regulation of interleukin-1 beta production (GO:0032651)	80	6	1.06	+	5.66	9.25E-04	1.12E-02
peptidyl-threonine modification (GO:0018210)	80	6	1.06	+	5.66	9.25E-04	1.12E-02
myeloid cell homeostasis (GO:0002262)	111	7	1.47	+	4.76	9.26E-04	1.12E-02
regulation of insulin secretion (GO:0050796)	182	9	2.41	+	3.73	9.51E-04	1.15E-02
positive regulation of anion transport (GO:1903793)	53	5	.70	+	7.13	9.57E-04	1.16E-02
alpha-beta T cell differentiation (GO:0046632)	53	5	.70	+	7.13	9.57E-04	1.16E-02
regulation of syncytium formation by plasma membrane fusion (GO:0060142)	30	4	.40	+	10.07	9.72E-04	1.18E-02
positive regulation of leukocyte apoptotic process (GO:2000108)	30	4	.40	+	10.07	9.72E-04	1.17E-02
response to sterol (GO:0036314)	30	4	.40	+	10.07	9.72E-04	1.17E-02
regulation of tumor necrosis factor secretion (GO:1904467)	30	4	.40	+	10.07	9.72E-04	1.17E-02
regulation of tumor necrosis factor biosynthetic process (GO:0042534)	30	4	.40	+	10.07	9.72E-04	1.17E-02
negative regulation of reactive oxygen species biosynthetic process (GO:1903427)	30	4	.40	+	10.07	9.72E-04	1.17E-02
morphogenesis of an epithelium (GO:0002009)	438	15	5.80	+	2.59	9.74E-04	1.17E-02
response to light stimulus (GO:0009416)	304	12	4.03	+	2.98	9.79E-04	1.18E-02
monocarboxylic acid biosynthetic process (GO:0072330)	183	9	2.42	+	3.71	9.87E-04	1.19E-02
negative regulation of mitotic cell cycle phase transition (GO:1901991)	222	10	2.94	+	3.40	9.97E-04	1.20E-02
angiotensin-mediated drinking behavior (GO:0003051)	2	2	.03	+	75.53	1.00E-03	1.20E-02
macrophage apoptotic process (GO:0071888)	2	2	.03	+	75.53	1.00E-03	1.20E-02
negative regulation of hydrogen peroxide catabolic process (GO:2000296)	2	2	.03	+	75.53	1.00E-03	1.20E-02
lipoate metabolic process (GO:0009106)	2	2	.03	+	75.53	1.00E-03	1.20E-02
cytosine metabolic process (GO:0019858)	2	2	.03	+	75.53	1.00E-03	1.20E-02
negative regulation of gap junction assembly (GO:1903597)	2	2	.03	+	75.53	1.00E-03	1.20E-02
cellular response to inorganic substance (GO:0071241)	223	10	2.95	+	3.39	1.03E-03	1.23E-02
negative regulation of coagulation (GO:0050819)	54	5	.71	+	6.99	1.03E-03	1.24E-02
T cell costimulation (GO:0031295)	54	5	.71	+	6.99	1.03E-03	1.23E-02
regulation of cyclase activity (GO:0031279)	54	5	.71	+	6.99	1.03E-03	1.23E-02
NIK/NF-kappaB signaling (GO:0038061)	82	6	1.09	+	5.53	1.04E-03	1.24E-02
regulation of ion transmembrane transport (GO:0034765)	489	16	6.47	+	2.47	1.06E-03	1.26E-02
cellular response to xenobiotic stimulus (GO:0071466)	185	9	2.45	+	3.67	1.06E-03	1.26E-02
leukocyte activation involved in inflammatory response (GO:0002269)	31	4	.41	+	9.75	1.09E-03	1.29E-02
microglial cell activation (GO:0001774)	31	4	.41	+	9.75	1.09E-03	1.29E-02
regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902253)	31	4	.41	+	9.75	1.09E-03	1.29E-02
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902230)	31	4	.41	+	9.75	1.09E-03	1.29E-02
establishment of epithelial cell polarity (GO:0090162)	31	4	.41	+	9.75	1.09E-03	1.29E-02
hyaluronan metabolic process (GO:0030212)	31	4	.41	+	9.75	1.09E-03	1.29E-02
positive regulation of myeloid leukocyte mediated immunity (GO:0002888)	31	4	.41	+	9.75	1.09E-03	1.29E-02
cytidine metabolic process (GO:0046087)	13	3	.17	+	17.43	1.09E-03	1.29E-02
positive regulation of regulatory T cell differentiation (GO:0045591)	13	3	.17	+	17.43	1.09E-03	1.29E-02
cytidine catabolic process (GO:0006216)	13	3	.17	+	17.43	1.09E-03	1.29E-02
cytidine deamination (GO:0009972)	13	3	.17	+	17.43	1.09E-03	1.29E-02
regulation of isotype switching to IgG isotypes (GO:0048302)	13	3	.17	+	17.43	1.09E-03	1.29E-02
negative regulation of necroptotic process (GO:0060546)	13	3	.17	+	17.43	1.09E-03	1.28E-02
cellular response to topologically incorrect protein (GO:0035967)	149	8	1.97	+	4.06	1.10E-03	1.29E-02
calcium ion transport into cytosol (GO:0060402)	83	6	1.10	+	5.46	1.11E-03	1.30E-02
lymphocyte costimulation (GO:0031294)	55	5	.73	+	6.87	1.12E-03	1.31E-02
regulation of cardiac muscle hypertrophy (GO:0010611)	55	5	.73	+	6.87	1.12E-03	1.31E-02
response to starvation (GO:0042594)	226	10	2.99	+	3.34	1.13E-03	1.33E-02
regulation of response to DNA damage stimulus (GO:2001020)	227	10	3.01	+	3.33	1.17E-03	1.37E-02
positive regulation of ossification (GO:0045778)	84	6	1.11	+	5.39	1.17E-03	1.38E-02
regulation of epithelial to mesenchymal transition (GO:0010717)	84	6	1.11	+	5.39	1.17E-03	1.37E-02
negative regulation of autophagy (GO:0010507)	84	6	1.11	+	5.39	1.17E-03	1.37E-02
fatty acid biosynthetic process (GO:0006633)	116	7	1.54	+	4.56	1.18E-03	1.38E-02
arachidonic acid metabolic process (GO:0019369)	56	5	.74	+	6.74	1.20E-03	1.41E-02
positive regulation of protein catabolic process (GO:0045732)	228	10	3.02	+	3.31	1.21E-03	1.41E-02
positive regulation of epidermal growth factor receptor signaling pathway (GO:0045742)	32	4	.42	+	9.44	1.21E-03	1.41E-02
ERBB2 signaling pathway (GO:0038128)	32	4	.42	+	9.44	1.21E-03	1.41E-02
lipid storage (GO:0019915)	32	4	.42	+	9.44	1.21E-03	1.41E-02
negative regulation of cytokine biosynthetic process (GO:0042036)	32	4	.42	+	9.44	1.21E-03	1.41E-02
positive regulation of smooth muscle contraction (GO:0045987)	32	4	.42	+	9.44	1.21E-03	1.41E-02
establishment of endothelial barrier (GO:0061028)	32	4	.42	+	9.44	1.21E-03	1.41E-02
response to topologically incorrect protein (GO:0035966)	189	9	2.50	+	3.60	1.22E-03	1.42E-02
response to fibroblast growth factor (GO:0071774)	117	7	1.55	+	4.52	1.24E-03	1.44E-02
glucose metabolic process (GO:0006006)	117	7	1.55	+	4.52	1.24E-03	1.44E-02
negative regulation of leukocyte proliferation (GO:0070664)	85	6	1.13	+	5.33	1.24E-03	1.44E-02
cellular response to alcohol (GO:0097306)	85	6	1.13	+	5.33	1.24E-03	1.44E-02
cell cycle (GO:0007049)	1335	32	17.68	+	1.81	1.26E-03	1.45E-02
positive regulation of growth (GO:0045927)	271	11	3.59	+	3.07	1.27E-03	1.47E-02
negative regulation of neuron apoptotic process (GO:0043524)	153	8	2.03	+	3.95	1.29E-03	1.49E-02
positive regulation of DNA binding (GO:0043388)	57	5	.75	+	6.63	1.30E-03	1.50E-02
pyrimidine ribonucleoside catabolic process (GO:0046133)	14	3	.19	+	16.18	1.31E-03	1.51E-02
alpha-beta T cell lineage commitment (GO:0002363)	14	3	.19	+	16.18	1.31E-03	1.51E-02
response to ether (GO:0045472)	14	3	.19	+	16.18	1.31E-03	1.51E-02
negative regulation of lymphocyte migration (GO:2000402)	14	3	.19	+	16.18	1.31E-03	1.51E-02
negative regulation by host of viral transcription (GO:0043922)	14	3	.19	+	16.18	1.31E-03	1.51E-02
regulation of extracellular matrix assembly (GO:1901201)	14	3	.19	+	16.18	1.31E-03	1.51E-02
macrophage chemotaxis (GO:0048246)	14	3	.19	+	16.18	1.31E-03	1.51E-02
negative regulation of programmed necrotic cell death (GO:0062099)	14	3	.19	+	16.18	1.31E-03	1.51E-02
regulation of lipid biosynthetic process (GO:0046890)	191	9	2.53	+	3.56	1.31E-03	1.51E-02
establishment of protein localization to organelle (GO:0072594)	452	15	5.98	+	2.51	1.32E-03	1.51E-02
organ or tissue specific immune response (GO:0002251)	33	4	.44	+	9.15	1.34E-03	1.54E-02
positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003)	33	4	.44	+	9.15	1.34E-03	1.54E-02
nucleoside catabolic process (GO:0009164)	33	4	.44	+	9.15	1.34E-03	1.54E-02
response to prostaglandin (GO:0034694)	33	4	.44	+	9.15	1.34E-03	1.54E-02
positive regulation of epithelial cell apoptotic process (GO:1904037)	33	4	.44	+	9.15	1.34E-03	1.53E-02
